energy,total,integrate
-44.8076,0.0000,4.0000
-44.7879,0.0000,4.0000
-44.7682,0.0000,4.0000
-44.7484,0.0000,4.0000
-44.7287,0.0000,4.0000
-44.7089,0.0000,4.0000
-44.6892,0.0000,4.0000
-44.6694,0.0000,4.0000
-44.6497,0.0000,4.0000
-44.6300,0.0000,4.0000
-44.6102,0.0000,4.0000
-44.5905,0.0000,4.0000
-44.5707,0.0000,4.0000
-44.5510,0.0000,4.0000
-44.5312,0.0000,4.0000
-44.5115,0.0000,4.0000
-44.4917,0.0000,4.0000
-44.4720,0.0000,4.0000
-44.4523,0.0000,4.0000
-44.4325,0.0000,4.0000
-44.4128,0.0000,4.0000
-44.3930,0.0000,4.0000
-44.3733,0.0000,4.0000
-44.3535,0.0000,4.0000
-44.3338,0.0000,4.0000
-44.3140,0.0000,4.0000
-44.2943,0.0000,4.0000
-44.2746,0.0000,4.0000
-44.2548,0.0000,4.0000
-44.2351,0.0000,4.0000
-44.2153,0.0000,4.0000
-44.1956,0.0000,4.0000
-44.1758,0.0000,4.0000
-44.1561,0.0000,4.0000
-44.1364,0.0000,4.0000
-44.1166,0.0000,4.0000
-44.0969,0.0000,4.0000
-44.0771,0.0000,4.0000
-44.0574,0.0000,4.0000
-44.0376,0.0000,4.0000
-44.0179,0.0000,4.0000
-43.9981,0.0000,4.0000
-43.9784,0.0000,4.0000
-43.9587,0.0000,4.0000
-43.9389,0.0000,4.0000
-43.9192,0.0000,4.0000
-43.8994,0.0000,4.0000
-43.8797,0.0000,4.0000
-43.8599,0.0000,4.0000
-43.8402,0.0000,4.0000
-43.8205,0.0000,4.0000
-43.8007,0.0000,4.0000
-43.7810,0.0000,4.0000
-43.7612,0.0000,4.0000
-43.7415,0.0000,4.0000
-43.7217,0.0000,4.0000
-43.7020,0.0000,4.0000
-43.6822,0.0000,4.0000
-43.6625,0.0000,4.0000
-43.6428,0.0000,4.0000
-43.6230,0.0000,4.0000
-43.6033,0.0000,4.0000
-43.5835,0.0000,4.0000
-43.5638,0.0000,4.0000
-43.5440,0.0000,4.0000
-43.5243,0.0000,4.0000
-43.5045,0.0000,4.0000
-43.4848,0.0000,4.0000
-43.4651,0.0000,4.0000
-43.4453,0.0000,4.0000
-43.4256,0.0000,4.0000
-43.4058,0.0000,4.0000
-43.3861,0.0000,4.0000
-43.3663,0.0000,4.0000
-43.3466,0.0000,4.0000
-43.3269,0.0000,4.0000
-43.3071,0.0000,4.0000
-43.2874,0.0000,4.0000
-43.2676,0.0000,4.0000
-43.2479,0.0000,4.0000
-43.2281,0.0000,4.0000
-43.2084,0.0000,4.0000
-43.1886,0.0000,4.0000
-43.1689,0.0000,4.0000
-43.1492,0.0000,4.0000
-43.1294,0.0000,4.0000
-43.1097,0.0000,4.0000
-43.0899,0.0000,4.0000
-43.0702,0.0000,4.0000
-43.0504,0.0000,4.0000
-43.0307,0.0000,4.0000
-43.0109,0.0000,4.0000
-42.9912,0.0000,4.0000
-42.9715,0.0000,4.0000
-42.9517,0.0000,4.0000
-42.9320,0.0000,4.0000
-42.9122,0.0000,4.0000
-42.8925,0.0000,4.0000
-42.8727,0.0000,4.0000
-42.8530,0.0000,4.0000
-42.8333,0.0000,4.0000
-42.8135,0.0000,4.0000
-42.7938,0.0000,4.0000
-42.7740,0.0000,4.0000
-42.7543,0.0000,4.0000
-42.7345,0.0000,4.0000
-42.7148,0.0000,4.0000
-42.6950,0.0000,4.0000
-42.6753,0.0000,4.0000
-42.6556,0.0000,4.0000
-42.6358,0.0000,4.0000
-42.6161,0.0000,4.0000
-42.5963,0.0000,4.0000
-42.5766,0.0000,4.0000
-42.5568,0.0000,4.0000
-42.5371,0.0000,4.0000
-42.5174,0.0000,4.0000
-42.4976,0.0000,4.0000
-42.4779,0.0000,4.0000
-42.4581,0.0000,4.0000
-42.4384,0.0000,4.0000
-42.4186,0.0000,4.0000
-42.3989,0.0000,4.0000
-42.3791,0.0000,4.0000
-42.3594,0.0000,4.0000
-42.3397,0.0000,4.0000
-42.3199,0.0000,4.0000
-42.3002,0.0000,4.0000
-42.2804,0.0000,4.0000
-42.2607,0.0000,4.0000
-42.2409,0.0000,4.0000
-42.2212,0.0000,4.0000
-42.2014,0.0000,4.0000
-42.1817,0.0000,4.0000
-42.1620,0.0000,4.0000
-42.1422,0.0000,4.0000
-42.1225,0.0000,4.0000
-42.1027,0.0000,4.0000
-42.0830,0.0000,4.0000
-42.0632,0.0000,4.0000
-42.0435,0.0000,4.0000
-42.0238,0.0000,4.0000
-42.0040,0.0000,4.0000
-41.9843,0.0000,4.0000
-41.9645,0.0000,4.0000
-41.9448,0.0000,4.0000
-41.9250,0.0000,4.0000
-41.9053,0.0000,4.0000
-41.8855,0.0000,4.0000
-41.8658,0.0000,4.0000
-41.8461,0.0000,4.0000
-41.8263,0.0000,4.0000
-41.8066,0.0000,4.0000
-41.7868,0.0000,4.0000
-41.7671,0.0000,4.0000
-41.7473,0.0000,4.0000
-41.7276,0.0000,4.0000
-41.7079,0.0000,4.0000
-41.6881,0.0000,4.0000
-41.6684,0.0000,4.0000
-41.6486,0.0000,4.0000
-41.6289,0.0000,4.0000
-41.6091,0.0000,4.0000
-41.5894,0.0000,4.0000
