index,ion_index,energy,s,p,d
351,Ba,-41.2340,0.0,0.0,0.0
352,Ba,-41.2143,0.0,0.0,0.0
353,Ba,-41.1945,0.0,0.0,0.0
354,Ba,-41.1748,0.0,0.0,0.0
355,Ba,-41.1550,0.0,0.0,0.0
356,Ba,-41.1353,0.0,0.0,0.0
357,Ba,-41.1155,0.0,0.0,0.0
358,Ba,-41.0958,0.0,0.0,0.0
359,Ba,-41.0760,0.0,0.0,0.0
360,Ba,-41.0563,0.0,0.0,0.0
361,Ba,-41.0366,0.0,0.0,0.0
362,Ba,-41.0168,0.0,0.0,0.0
363,Ba,-40.9971,0.0,0.0,0.0
364,Ba,-40.9773,0.0,0.0,0.0
365,Ba,-40.9576,0.0,0.0,0.0
366,Ba,-40.9378,0.0,0.0,0.0
367,Ba,-40.9181,0.0,0.0,0.0
368,Ba,-40.8984,0.0,0.0,0.0
369,Ba,-40.8786,0.0,0.0,0.0
370,Ba,-40.8589,0.0,0.0,0.0
371,Ba,-40.8391,0.0,0.0,0.0
372,Ba,-40.8194,0.0,0.0,0.0
373,Ba,-40.7996,0.0,0.0,0.0
374,Ba,-40.7799,0.0,0.0,0.0
375,Ba,-40.7601,0.0,0.0,0.0
376,Ba,-40.7404,0.0,0.0,0.0
377,Ba,-40.7207,0.0,0.0,0.0
378,Ba,-40.7009,0.0,0.0,0.0
379,Ba,-40.6812,0.0,0.0,0.0
380,Ba,-40.6614,0.0,0.0,0.0
381,Ba,-40.6417,0.0,0.0,0.0
382,Ba,-40.6219,0.0,0.0,0.0
383,Ba,-40.6022,0.0,0.0,0.0
384,Ba,-40.5824,0.0,0.0,0.0
385,Ba,-40.5627,0.0,0.0,0.0
386,Ba,-40.5430,0.0,0.0,0.0
387,Ba,-40.5232,0.0,0.0,0.0
388,Ba,-40.5035,0.0,0.0,0.0
389,Ba,-40.4837,0.0,0.0,0.0
390,Ba,-40.4640,0.0,0.0,0.0
391,Ba,-40.4442,0.0,0.0,0.0
392,Ba,-40.4245,0.0,0.0,0.0
393,Ba,-40.4048,0.0,0.0,0.0
394,Ba,-40.3850,0.0,0.0,0.0
395,Ba,-40.3653,0.0,0.0,0.0
396,Ba,-40.3455,0.0,0.0,0.0
397,Ba,-40.3258,0.0,0.0,0.0
398,Ba,-40.3060,0.0,0.0,0.0
399,Ba,-40.2863,0.0,0.0,0.0
400,Ba,-40.2665,0.0,0.0,0.0
401,Ba,-40.2468,0.0,0.0,0.0
402,Ba,-40.2271,0.0,0.0,0.0
403,Ba,-40.2073,0.0,0.0,0.0
404,Ba,-40.1876,0.0,0.0,0.0
405,Ba,-40.1678,0.0,0.0,0.0
406,Ba,-40.1481,0.0,0.0,0.0
407,Ba,-40.1283,0.0,0.0,0.0
408,Ba,-40.1086,0.0,0.0,0.0
409,Ba,-40.0889,0.0,0.0,0.0
410,Ba,-40.0691,0.0,0.0,0.0
411,Ba,-40.0494,0.0,0.0,0.0
412,Ba,-40.0296,0.0,0.0,0.0
413,Ba,-40.0099,0.0,0.0,0.0
414,Ba,-39.9901,0.0,0.0,0.0
415,Ba,-39.9704,0.0,0.0,0.0
416,Ba,-39.9506,0.0,0.0,0.0
417,Ba,-39.9309,0.0,0.0,0.0
418,Ba,-39.9112,0.0,0.0,0.0
419,Ba,-39.8914,0.0,0.0,0.0
420,Ba,-39.8717,0.0,0.0,0.0
421,Ba,-39.8519,0.0,0.0,0.0
422,Ba,-39.8322,0.0,0.0,0.0
423,Ba,-39.8124,0.0,0.0,0.0
424,Ba,-39.7927,0.0,0.0,0.0
425,Ba,-39.7729,0.0,0.0,0.0
426,Ba,-39.7532,0.0,0.0,0.0
