index,ion_index,energy,s,p,d
2120,Ba,-46.8808,0.0,0.0,0.0
2119,Ba,-46.861,0.0,0.0,0.0
8119,Zr,-46.861,0.0,0.0,0.0
5119,S,-46.861,0.0,0.0,0.0
5118,S,-46.8413,0.0,0.0,0.0
8118,Zr,-46.8413,0.0,0.0,0.0
2118,Ba,-46.8413,0.0,0.0,0.0
5117,S,-46.8215,0.0,0.0,0.0
2117,Ba,-46.8215,0.0,0.0,0.0
8117,Zr,-46.8215,0.0,0.0,0.0
2116,Ba,-46.8018,0.0,0.0,0.0
8116,Zr,-46.8018,0.0,0.0,0.0
5116,S,-46.8018,0.0,0.0,0.0
2115,Ba,-46.782,0.0,0.0,0.0
8115,Zr,-46.782,0.0,0.0,0.0
5115,S,-46.782,0.0,0.0,0.0
8114,Zr,-46.7623,0.0,0.0,0.0
5114,S,-46.7623,0.0,0.0,0.0
2114,Ba,-46.7623,0.0,0.0,0.0
5113,S,-46.7425,0.0,0.0,0.0
8113,Zr,-46.7425,0.0,0.0,0.0
2113,Ba,-46.7425,0.0,0.0,0.0
2112,Ba,-46.7228,0.0,0.0,0.0
8112,Zr,-46.7228,0.0,0.0,0.0
5112,S,-46.7228,0.0,0.0,0.0
8111,Zr,-46.7031,0.0,0.0,0.0
5111,S,-46.7031,0.0,0.0,0.0
2111,Ba,-46.7031,0.0,0.0,0.0
2110,Ba,-46.6833,0.0,0.0,0.0
8110,Zr,-46.6833,0.0,0.0,0.0
5110,S,-46.6833,0.0,0.0,0.0
2109,Ba,-46.6636,0.0,0.0,0.0
8109,Zr,-46.6636,0.0,0.0,0.0
5109,S,-46.6636,0.0,0.0,0.0
2108,Ba,-46.6438,0.0,0.0,0.0
5108,S,-46.6438,0.0,0.0,0.0
8108,Zr,-46.6438,0.0,0.0,0.0
5107,S,-46.6241,0.0,0.0,0.0
8107,Zr,-46.6241,0.0,0.0,0.0
2107,Ba,-46.6241,0.0,0.0,0.0
8106,Zr,-46.6043,0.0,0.0,0.0
2106,Ba,-46.6043,0.0,0.0,0.0
5106,S,-46.6043,0.0,0.0,0.0
5105,S,-46.5846,0.0,0.0,0.0
2105,Ba,-46.5846,0.0,0.0,0.0
8105,Zr,-46.5846,0.0,0.0,0.0
8104,Zr,-46.5649,0.0,0.0,0.0
2104,Ba,-46.5649,0.0,0.0,0.0
5104,S,-46.5649,0.0,0.0,0.0
8103,Zr,-46.5451,0.0,0.0,0.0
5103,S,-46.5451,0.0,0.0,0.0
2103,Ba,-46.5451,0.0,0.0,0.0
8102,Zr,-46.5254,0.0,0.0,0.0
2102,Ba,-46.5254,0.0,0.0,0.0
5102,S,-46.5254,0.0,0.0,0.0
2101,Ba,-46.5056,0.0,0.0,0.0
5101,S,-46.5056,0.0,0.0,0.0
8101,Zr,-46.5056,0.0,0.0,0.0
8100,Zr,-46.4859,0.0,0.0,0.0
2100,Ba,-46.4859,0.0,0.0,0.0
5100,S,-46.4859,0.0,0.0,0.0
8099,Zr,-46.4661,0.0,0.0,0.0
2099,Ba,-46.4661,0.0,0.0,0.0
5099,S,-46.4661,0.0,0.0,0.0
5098,S,-46.4464,0.0,0.0,0.0
2098,Ba,-46.4464,0.0,0.0,0.0
8098,Zr,-46.4464,0.0,0.0,0.0
2097,Ba,-46.4266,0.0,0.0,0.0
5097,S,-46.4266,0.0,0.0,0.0
8097,Zr,-46.4266,0.0,0.0,0.0
5096,S,-46.4069,0.0,0.0,0.0
2096,Ba,-46.4069,0.0,0.0,0.0
8096,Zr,-46.4069,0.0,0.0,0.0
2095,Ba,-46.3872,0.0,0.0,0.0
5095,S,-46.3872,0.0,0.0,0.0
8095,Zr,-46.3872,0.0,0.0,0.0
5094,S,-46.3674,0.0,0.0,0.0
2094,Ba,-46.3674,0.0,0.0,0.0
8094,Zr,-46.3674,0.0,0.0,0.0
5093,S,-46.3477,0.0,0.0,0.0
8093,Zr,-46.3477,0.0,0.0,0.0
2093,Ba,-46.3477,0.0,0.0,0.0
5092,S,-46.3279,0.0,0.0,0.0
2092,Ba,-46.3279,0.0,0.0,0.0
8092,Zr,-46.3279,0.0,0.0,0.0
2091,Ba,-46.3082,0.0,0.0,0.0
5091,S,-46.3082,0.0,0.0,0.0
8091,Zr,-46.3082,0.0,0.0,0.0
5090,S,-46.2884,0.0,0.0,0.0
8090,Zr,-46.2884,0.0,0.0,0.0
